"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test one","Chrome","Thu Aug 07 17:03:30 MST 2025","passed","Thu Aug 07 17:03:30 MST 2025","","practise/ClientAppPO.spec.js","",""
"","1317","End To End Flow - Order status page","Chrome","Thu Aug 07 17:02:30 MST 2025","failed","Thu Aug 07 17:02:31 MST 2025","","practise/WebAPIPart1.spec.js","",""
"","3584","Playwright - Special locators","Chrome","Thu Aug 07 17:02:22 MST 2025","failed","Thu Aug 07 17:02:25 MST 2025","","practise/llc.spec.js","",""
"","12203","End To End Flow - Order status page","Chrome","Thu Aug 07 17:03:17 MST 2025","passed","Thu Aug 07 17:03:29 MST 2025","","practise/ClientAppPO.spec.js","",""
"","0","test one","Safari","Thu Aug 07 17:03:44 MST 2025","passed","Thu Aug 07 17:03:44 MST 2025","","practise/ClientAppPO.spec.js","",""
"","13096","End To End Flow - Order status page","Safari","Thu Aug 07 17:03:31 MST 2025","passed","Thu Aug 07 17:03:44 MST 2025","","practise/ClientAppPO.spec.js","",""
"","1","WebAPI Par2","Chrome","Thu Aug 07 17:02:31 MST 2025","skipped","Thu Aug 07 17:02:31 MST 2025","","practise/WebAPIPart2.spec.js","",""
"","2878","Visual testing","Chrome","Thu Aug 07 17:02:26 MST 2025","failed","Thu Aug 07 17:02:29 MST 2025","","practise/Validations.spec.js","",""
"","0","WebAPI Par2","Safari","Thu Aug 07 17:02:31 MST 2025","skipped","Thu Aug 07 17:02:31 MST 2025","","practise/WebAPIPart2.spec.js","",""
"","1","test two","Chrome","Thu Aug 07 17:03:30 MST 2025","passed","Thu Aug 07 17:03:30 MST 2025","","practise/ClientAppPO.spec.js","",""
"","2","test two","Safari","Thu Aug 07 17:03:44 MST 2025","passed","Thu Aug 07 17:03:44 MST 2025","","practise/ClientAppPO.spec.js","",""
"","12327","End To End Flow - Order status page","Chrome","Thu Aug 07 17:02:08 MST 2025","passed","Thu Aug 07 17:02:20 MST 2025","","practise/ClientApp.spec.js","",""
